N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
621,51,PEA0021,PRI1AS,752,PEA.00.70.51,Prionostemma,Prionostemma asperum,Celastraceae
622,53,PEA0022,HYBAPR,441,PEA.00.70.53,Hybanthus,Hybanthus prunifolius,Violaceae
623,65,PEA0023,DOLIMA,162,PEA.00.70.65,Doliocarpus,Doliocarpus major,Dilleniaceae
624,74,PEA0024,DOLIMA,220,PEA.00.70.74,Doliocarpus,Doliocarpus major,Dilleniaceae
625,78,PEA0025,DOLIMA,212,PEA.00.70.78,Doliocarpus,Doliocarpus major,Dilleniaceae
626,81,PEA0026,DOLIMA,225,PEA.00.70.81,Doliocarpus,Doliocarpus major,Dilleniaceae
627,82,PEA0027,DOLIMA,263,PEA.00.70.82,Doliocarpus,Doliocarpus major,Dilleniaceae
628,47,PEA0028,DOLIOL,265,PEA.00.75.47,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
629,48,PEA0029,CAPPFR,281,PEA.00.80.48,Capparidastrum,Capparidastrum frondosum,Capparaceae
630,66,PEA0030,SWARS2,722,PEA.00.85.66,Swartzia,Swartzia simplex var. continentalis,Fabaceae
631,34,PEA0031,PAULTU,231,PEA.00.100.34,Paullinia,Paullinia turbacensis,Sapindaceae
632,39,PEA0032,FARAOC,544,PEA.00.115.39,Faramea,Faramea occidentalis,Rubiaceae
633,32,PEA0033,PRI1AS,762,PEA.00.135.32,Prionostemma,Prionostemma asperum,Celastraceae
634,35,PEA0034,DOLIOL,572,PEA.00.135.35,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
635,83,PEA0035,FARAOC,411,PEA.00.135.83,Faramea,Faramea occidentalis,Rubiaceae
636,86,PEA0036,PRI1AS,193,PEA.00.135.86,Prionostemma,Prionostemma asperum,Celastraceae
637,99,PEA0037,MOURMY,271,PEA.00.135.99,Mouriri,Mouriri myrtilloides,Melastomataceae
638,179,PEA0038,MOURMY,461,PEA.00.135.179,Mouriri,Mouriri myrtilloides,Melastomataceae
639,199,PEA0039,MOURMY,966,PEA.00.135.199,Mouriri,Mouriri myrtilloides,Melastomataceae
