N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
820,195,PEA0220,CAPPFR,323,PEA.25.45.195,Capparidastrum,Capparidastrum frondosum,Capparaceae
821,20,PEA0221,DES2PA,472,PEA.25.50.20,Desmopsis,Desmopsis panamensis,Annonaceae
822,6,PEA0222,PAULTU,273,PEA.25.55.6,Paullinia,Paullinia turbacensis,Sapindaceae
823,7,PEA0223,PROTTE,606,PEA.25.55.7,Protium,Protium tenuifolium,Burseraceae
824,1,PEA0224,MAR2PA,855,PEA.25.60.1,Maripa,Maripa panamensis,Convolvulaceae
825,25,PEA0225,CHR2CA,357,PEA.25.60.25,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
826,4,PEA0226,GUSTSU,299,PEA.25.95.4,Gustavia,Gustavia superba,Lecythidaceae
827,16,PEA0227,HYBAPR,441,PEA.25.95.16,Hybanthus,Hybanthus prunifolius,Violaceae
828,59,PEA0228,HYBAPR,212,PEA.25.95.59,Hybanthus,Hybanthus prunifolius,Violaceae
829,93,PEA0229,DOLIOL,379,PEA.25.95.93,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
830,92,PEA0230,DOLIOL,284,PEA.25.100.92,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
